"Statistic Label","Area of Residence","Quarter","UNIT","VALUE"
"Overseas Trips to Ireland","Great Britain","2015Q4","Thousand","884.5"
"Overseas Trips to Ireland","Great Britain","2016Q1","Thousand","851.4"
"Overseas Trips to Ireland","Great Britain","2016Q2","Thousand","1013.6"
"Overseas Trips to Ireland","Great Britain","2016Q3","Thousand","1148.5"
"Overseas Trips to Ireland","Great Britain","2016Q4","Thousand","910.6"
"Overseas Trips to Ireland","Great Britain","2017Q1","Thousand","796.1"
"Overseas Trips to Ireland","Great Britain","2017Q2","Thousand","949.2"
"Overseas Trips to Ireland","Great Britain","2017Q3","Thousand","1065.2"
"Overseas Trips to Ireland","Great Britain","2017Q4","Thousand","918.4"
"Overseas Trips to Ireland","Great Britain","2018Q1","Thousand","798.3"
"Overseas Trips to Ireland","Great Britain","2018Q2","Thousand","987.9"
"Overseas Trips to Ireland","Great Britain","2018Q3","Thousand","1055.9"
"Overseas Trips to Ireland","Great Britain","2018Q4","Thousand","917"
"Overseas Trips to Ireland","Great Britain","2019Q1","Thousand","809.1"
"Overseas Trips to Ireland","Great Britain","2019Q2","Thousand","985.2"
"Overseas Trips to Ireland","Great Britain","2019Q3","Thousand","1065"
"Overseas Trips to Ireland","Great Britain","2019Q4","Thousand","928.3"
"Overseas Trips to Ireland","Other Europe (27)","2008Q1","Thousand","480.2"
"Overseas Trips to Ireland","Other Europe (27)","2008Q2","Thousand","729"
"Overseas Trips to Ireland","Other Europe (27)","2008Q3","Thousand","839.9"
"Overseas Trips to Ireland","Other Europe (27)","2008Q4","Thousand","561.2"
"Overseas Trips to Ireland","Other Europe (27)","2009Q1","Thousand","488.7"
"Overseas Trips to Ireland","Other Europe (27)","2009Q2","Thousand","658.2"
"Overseas Trips to Ireland","Other Europe (27)","2009Q3","Thousand","757.6"
"Overseas Trips to Ireland","Other Europe (27)","2009Q4","Thousand","477.8"
"Overseas Trips to Ireland","Other Europe (27)","2010Q1","Thousand","366.5"
"Overseas Trips to Ireland","Other Europe (27)","2010Q2","Thousand","500.5"
"Overseas Trips to Ireland","Other Europe (27)","2010Q3","Thousand","700.9"
"Overseas Trips to Ireland","Other Europe (27)","2010Q4","Thousand","477.3"
"Overseas Trips to Ireland","Other Europe (27)","2011Q1","Thousand","407.8"
"Overseas Trips to Ireland","Other Europe (27)","2011Q2","Thousand","647.5"
"Overseas Trips to Ireland","Other Europe (27)","2011Q3","Thousand","763.2"
"Overseas Trips to Ireland","Other Europe (27)","2011Q4","Thousand","464.7"
"Overseas Trips to Ireland","Other Europe (27)","2012Q1","Thousand","392.8"
"Overseas Trips to Ireland","Other Europe (27)","2012Q2","Thousand","672.4"
"Overseas Trips to Ireland","Other Europe (27)","2012Q3","Thousand","776.8"
"Overseas Trips to Ireland","Other Europe (27)","2012Q4","Thousand","505.4"
"Overseas Trips to Ireland","Other Europe (27)","2013Q1","Thousand","444"
"Overseas Trips to Ireland","Other Europe (27)","2013Q2","Thousand","705.2"
"Overseas Trips to Ireland","Other Europe (27)","2013Q3","Thousand","786.2"
"Overseas Trips to Ireland","Other Europe (27)","2013Q4","Thousand","527.6"
"Overseas Trips to Ireland","Other Europe (27)","2014Q1","Thousand","447.4"
"Overseas Trips to Ireland","Other Europe (27)","2014Q2","Thousand","770.6"
"Overseas Trips to Ireland","Other Europe (27)","2014Q3","Thousand","861.1"
"Overseas Trips to Ireland","Other Europe (27)","2014Q4","Thousand","559"
"Overseas Trips to Ireland","Other Europe (27)","2015Q1","Thousand","526"
"Overseas Trips to Ireland","Other Europe (27)","2015Q2","Thousand","850.9"
"Overseas Trips to Ireland","Other Europe (27)","2015Q3","Thousand","987"
"Overseas Trips to Ireland","Other Europe (27)","2015Q4","Thousand","679.4"
"Overseas Trips to Ireland","Other Europe (27)","2016Q1","Thousand","599.6"
"Overseas Trips to Ireland","Other Europe (27)","2016Q2","Thousand","928.5"
"Overseas Trips to Ireland","Other Europe (27)","2016Q3","Thousand","1085.3"
"Overseas Trips to Ireland","Other Europe (27)","2016Q4","Thousand","688.7"
"Overseas Trips to Ireland","Other Europe (27)","2017Q1","Thousand","595.9"
"Overseas Trips to Ireland","Other Europe (27)","2017Q2","Thousand","1022"
"Overseas Trips to Ireland","Other Europe (27)","2017Q3","Thousand","1086.9"
"Overseas Trips to Ireland","Other Europe (27)","2017Q4","Thousand","777.6"
"Overseas Trips to Ireland","Other Europe (27)","2018Q1","Thousand","678.3"
"Overseas Trips to Ireland","Other Europe (27)","2018Q2","Thousand","1104.5"
"Overseas Trips to Ireland","Other Europe (27)","2018Q3","Thousand","1193.4"
"Overseas Trips to Ireland","Other Europe (27)","2018Q4","Thousand","836.5"
"Overseas Trips to Ireland","Other Europe (27)","2019Q1","Thousand","730"
"Overseas Trips to Ireland","Other Europe (27)","2019Q2","Thousand","1104.8"
"Overseas Trips to Ireland","Other Europe (27)","2019Q3","Thousand","1203.4"
"Overseas Trips to Ireland","Other Europe (27)","2019Q4","Thousand","871.9"
"Overseas Trips to Ireland","Other Areas  (27)","2008Q1","Thousand",""
"Overseas Trips to Ireland","Other Areas  (27)","2008Q2","Thousand",""
"Overseas Trips to Ireland","Other Areas  (27)","2008Q3","Thousand",""
"Overseas Trips to Ireland","Other Areas  (27)","2008Q4","Thousand",""
"Overseas Trips to Ireland","Other Areas  (27)","2009Q1","Thousand",""
"Overseas Trips to Ireland","Other Areas  (27)","2009Q2","Thousand",""
"Overseas Trips to Ireland","Other Areas  (27)","2009Q3","Thousand",""
"Overseas Trips to Ireland","Other Areas  (27)","2009Q4","Thousand",""
"Overseas Trips to Ireland","Other Areas  (27)","2010Q1","Thousand",""
"Overseas Trips to Ireland","Other Areas  (27)","2010Q2","Thousand",""
"Overseas Trips to Ireland","Other Areas  (27)","2010Q3","Thousand",""
"Overseas Trips to Ireland","Other Areas  (27)","2010Q4","Thousand",""
"Overseas Trips to Ireland","Other Areas  (27)","2011Q1","Thousand",""
"Overseas Trips to Ireland","Other Areas  (27)","2011Q2","Thousand",""
"Overseas Trips to Ireland","Other Areas  (27)","2011Q3","Thousand","124.6"
"Overseas Trips to Ireland","Other Areas  (27)","2011Q4","Thousand","73.6"
"Overseas Trips to Ireland","Other Areas  (27)","2012Q1","Thousand","65.2"
"Overseas Trips to Ireland","Other Areas  (27)","2012Q2","Thousand","104"
"Overseas Trips to Ireland","Other Areas  (27)","2012Q3","Thousand","124.5"
"Overseas Trips to Ireland","Other Areas  (27)","2012Q4","Thousand","85"
"Overseas Trips to Ireland","Other Areas  (27)","2013Q1","Thousand","68.7"
"Overseas Trips to Ireland","Other Areas  (27)","2013Q2","Thousand","110.1"
"Overseas Trips to Ireland","Other Areas  (27)","2013Q3","Thousand","155"
"Overseas Trips to Ireland","Other Areas  (27)","2013Q4","Thousand","102"
"Overseas Trips to Ireland","Other Areas  (27)","2014Q1","Thousand","80.7"
"Overseas Trips to Ireland","Other Areas  (27)","2014Q2","Thousand","122.6"
"Overseas Trips to Ireland","Other Areas  (27)","2014Q3","Thousand","166.7"
"Overseas Trips to Ireland","Other Areas  (27)","2014Q4","Thousand","103.7"
"Overseas Trips to Ireland","Other Areas  (27)","2015Q1","Thousand","88.3"
"Overseas Trips to Ireland","Other Areas  (27)","2015Q2","Thousand","139.7"
"Overseas Trips to Ireland","Other Areas  (27)","2015Q3","Thousand","183.4"
"Overseas Trips to Ireland","Other Areas  (27)","2015Q4","Thousand","127.2"
"Overseas Trips to Ireland","Other Areas  (27)","2016Q1","Thousand","95.5"
"Overseas Trips to Ireland","Other Areas  (27)","2016Q2","Thousand","136.7"
"Overseas Trips to Ireland","Other Areas  (27)","2016Q3","Thousand","190.2"
"Overseas Trips to Ireland","Other Areas  (27)","2016Q4","Thousand","127.8"
"Overseas Trips to Ireland","Other Areas  (27)","2017Q1","Thousand","110.8"
"Overseas Trips to Ireland","Other Areas  (27)","2017Q2","Thousand","169.3"
"Overseas Trips to Ireland","Other Areas  (27)","2017Q3","Thousand","210.9"
"Overseas Trips to Ireland","Other Areas  (27)","2017Q4","Thousand","128.3"
"Overseas Trips to Ireland","Other Areas  (27)","2018Q1","Thousand","112.5"
"Overseas Trips to Ireland","Other Areas  (27)","2018Q2","Thousand","170.4"
"Overseas Trips to Ireland","Other Areas  (27)","2018Q3","Thousand","234.1"
"Overseas Trips to Ireland","Other Areas  (27)","2018Q4","Thousand","143.8"
"Overseas Trips to Ireland","Other Areas  (27)","2019Q1","Thousand","120.3"
"Overseas Trips to Ireland","Other Areas  (27)","2019Q2","Thousand","185.6"
"Overseas Trips to Ireland","Other Areas  (27)","2019Q3","Thousand","241.4"
"Overseas Trips to Ireland","Other Areas  (27)","2019Q4","Thousand","149.9"
"Overseas Trips to Ireland","Other Areas (31)","2008Q1","Thousand",""
"Overseas Trips to Ireland","Other Areas (31)","2008Q2","Thousand",""
"Overseas Trips to Ireland","Other Areas (31)","2008Q3","Thousand",""
"Overseas Trips to Ireland","Other Areas (31)","2008Q4","Thousand",""
"Overseas Trips to Ireland","Other Areas (31)","2009Q1","Thousand",""
"Overseas Trips to Ireland","Other Areas (31)","2009Q2","Thousand",""
"Overseas Trips to Ireland","Other Areas (31)","2009Q3","Thousand",""
"Overseas Trips to Ireland","Other Areas (31)","2009Q4","Thousand",""
"Overseas Trips to Ireland","Other Areas (31)","2010Q1","Thousand",""
"Overseas Trips to Ireland","Other Areas (31)","2010Q2","Thousand",""
"Overseas Trips to Ireland","Other Areas (31)","2010Q3","Thousand",""
"Overseas Trips to Ireland","Other Areas (31)","2010Q4","Thousand","78.1"
"Overseas Trips to Ireland","Other Areas (31)","2011Q1","Thousand","65.6"
"Overseas Trips to Ireland","Other Areas (31)","2011Q2","Thousand","92.9"
"Overseas Trips to Ireland","Other Areas (31)","2011Q3","Thousand",""
"Overseas Trips to Ireland","Other Areas (31)","2011Q4","Thousand",""
"Overseas Trips to Ireland","Other Areas (31)","2012Q1","Thousand",""
"Overseas Trips to Ireland","Other Areas (31)","2012Q2","Thousand",""
"Overseas Trips to Ireland","Other Areas (31)","2012Q3","Thousand",""
"Overseas Trips to Ireland","Other Areas (31)","2012Q4","Thousand",""
"Overseas Trips to Ireland","Other Areas (31)","2013Q1","Thousand",""
"Overseas Trips to Ireland","Other Areas (31)","2013Q2","Thousand",""
"Overseas Trips to Ireland","Other Areas (31)","2013Q3","Thousand",""
"Overseas Trips to Ireland","Other Areas (31)","2013Q4","Thousand",""
"Overseas Trips to Ireland","Other Areas (31)","2014Q1","Thousand",""
"Overseas Trips to Ireland","Other Areas (31)","2014Q2","Thousand",""
"Overseas Trips to Ireland","Other Areas (31)","2014Q3","Thousand",""
"Overseas Trips to Ireland","Other Areas (31)","2014Q4","Thousand",""
"Overseas Trips to Ireland","Other Areas (31)","2015Q1","Thousand",""
